"Prop_ID","Playground_ID","Name","Location","Accessible","lat","lon","slug","ADA_Accessible_Comfort_Station","Sensory-Friendly"
"X020","X020","Fort Independence Playground","Jerome Park Resevoir and Sedgwick Av between W","Yes","40.8816","-73.896","null","Not Accessible","Y"
"X021","X021","Drew Playground","Fulton Av between E. 169 St and E. 170 St","Yes","40.8332","-73.9031","null","Accessible","Y"
"X026","X026","Hines Park Playground","Fulton Av to Franklin Av between E. 167 St and E. 166 St","Yes","40.8287","-73.9056","null","No","Y"
"X028","X028","Joyce Kilmer Park Playground","Grand Concourse to Walton Av between E. 161 St and E. 164 St","Yes","40.8297","-73.9219","null","No","Y"
"X029","X029","Lyons Square Playground","Aldus St to Bruckner Blvd between Bryant Av and Longfellow Av","Limited","40.8225","-73.8882","null","Accessible","Y"
"X030","X030-02","Elston Gene Howard Field Playground","East 161st St & River Ave, north of baseball fields","Yes","40.8277","-73.9278","null","Not Accessible","Y"
"X030","X030-99","Summit Playground","Summit Ave & W. 161 Street","Limited","40.8307","-73.9316","null","No","N"
"X032","X032","Railroad Park Playground","Coutlandt Av between E. 161 St and E. 162 St","Limited","40.8251","-73.9151","null","No","N"
"X033","X033-01","Kossuth Playground","E Mosholu Pkwy N, Kossuth Ave, Steuben Ave","Yes","40.8779","-73.8828","null","No","Y"
"X033","X033-04","Knox-Gates Playground","W Mosholue Pkwy N, Gates Pl","Limited","40.8819","-73.8852","null","No","Y"
"X034","X034-01","Mullaly Playground (1)","E 164 St & Jerome Ave","Yes","40.8314","-73.9254","null","Accessible","Y"
"X034","X034-06","Mullaly Playground (2)","Cromwell Ave & McClellan St","Yes","40.8342","-73.9234","null","No","Y"
"X038","X038-01","Strong Street Playground","Strong St, Reservoir Ave","Yes","40.8714","-73.8981","null","No","N"
"X038","X038-02","Fort #4 Playground","Reservoir & Sedgwick Aves","Yes","40.8744","-73.9011","null","No","Y"
"X039","X039-01","Playground For All Children","Bruckner Exwy, Buhre Ave","Yes","40.8487","-73.8255","null","Accessible","Y"
"X039","X039-02","Sweetgum Playground","Bruckner Exwy, Wilkinson Ave","Yes","40.8513","-73.8262","null","Not Accessible","N"
"X039","X039-06K","Pelican Bay Playground","Orchard Beach  Section 6-7","Yes","40.868","-73.7934","null","Not Accessible","N"
"X039","X039-99","Orchard Beach Playground","On Beachfront-Sand Area (MPPA Section 11-12)","Yes","40.8631","-73.7943","null","Accessible","Y"
"X040","X040","Poe Park Playground","Grand Concourse between E. 192 St and E. K","Yes","40.8648","-73.8945","null","Accessible","Y"
"X041","X041","Pulaski Park Playground","Bruckner Blvd between Willis Ave and Brown Pl","Yes","40.805","-73.924","null","No","Y"
"X044","X044-01","St James Park Playground","E 193 St & Jerome Ave","Yes","40.866","-73.8982","null","Accessible","Y"
"X045","X045-01","St Mary's Playground East","Jackson Ave & 144 St","Yes","40.8104","-73.9105","null","Accessible","Y"
"X045","X045-02","St Mary's Playground South","St Marys St & Crimmins Ave","Yes","40.8104","-73.9139","null","No","N"
"X045","X045-03","St Mary's Playground West","St Ann's Ave & E. 147 St","Yes","40.8128","-73.9129","null","Accessible","Y"
"X046","X046-01","High Rock Playground","233 St, Dereimer St & Baychester Ave","Yes","40.8884","-73.8409","null","No","Y"
"X047","X047-01","Franz Sigel Park Playground","E 153 St, Walton Ave & Gerard Ave","Limited","40.8225","-73.9274","null","Accessible","N"
"X055","X055","Brust Park Playground","Manhattan College Pkwy, Dash Pl, Greysto","Limited","40.8899","-73.9051","null","No","N"
"X080","X080-01","Paul's Playground","Kappock St & Independence Ave","Yes","40.8807","-73.9199","null","No","Y"
"X080","X080-02","Henry Hudson Playground (North)","Independence Ave & W. 227 St","Yes","40.8822","-73.918","null","No","Y"
"X080","X080-03","Henry Hudson Playground (West)","Kappock St between Independence & Palisade Aves","Limited","40.8812","-73.9204","null","Not Accessible","Y"
"X085","X085","Slattery Playground","E. 183 St between Valentine Ave and Ryer ","Yes","40.8573","-73.8983","null","Not Accessible","Y"
"X087","X087","Zimmerman Playground","Britton St between Olinville Ave and Barker Ave","Yes","40.8662","-73.8687","null","Accessible","Y"
"X092","X092-05","Van Cortlandt Classic Playground","VC Park South, Gouverneur Ave","Yes","40.8852","-73.8904","null","Not Accessible","Y"
"X092","X092-06","Woodlawn Playground","W 239 St, Van Cortlandt East","Yes","40.9002","-73.8721","null","Not Accessible","Y"
"X092","X092-09","Southwest Playground","W 240 St & Broadway","Yes","40.8867","-73.8984","null","No","Y"
"X092","X092-26","Sachkerah Woods Playground","Jerome Ave, East Gunhill Rd","Yes","40.8839","-73.8816","null","Not Accessible","Y"
"X093","X093","Van Nest Park Playground","Van Nest Ave & Mead Ave between Victor St & White Plains Rd","Yes","40.8433","-73.8658","null","No","Y"
"X102","X102","Ciccarone Park Playground","E 188 St between Arthur Av and Hughes Av ","Yes","40.8558","-73.8866","null","Accessible","Y"
"X103","X103","People's Park Playground","E. 141 St between Brook Ave and St Ann's Ave","Yes","40.8097","-73.9172","null","Accessible","Y"
"X104","X104-01","Williamsbridge Oval Playground","Reservoir Oval East, Holt Pl","Limited","40.8775","-73.8764","null","Accessible","N"
"X104","X104-02","Williamsbridge Oval Playground","Reservoir Oval West & 208 St","Yes","40.8773","-73.8785","null","Accessible","Y"
"X104","X104-03","Williamsbridge Oval Playground","Reservoir Oval West","Yes","40.8786","-73.8771","null","Accessible","N"
"X106","X106","Garrison Playground","E 146 St between Walton Av and Grand Concourse","Yes","40.8174","-73.9282","null","No","Y"
"X107","X107","Hawkins Park Playground","City Island Ave between Fordham St and Hawkins St","Yes","40.8466","-73.7864","null","No","Y"
"X108","X108","Belmont Playground","E 182 St between Belmont Av and Croton Av","Yes","40.8506","-73.8878","null","Accessible","Y"
"X111","X111","Cedar Playground","W 179 St between Cedar Av and Sedgwick Av","Yes","40.8552","-73.9174","null","Not Accessible","Y"
"X112","X112","Hilton White Playground","Cauldwell Ave between E. 161 St  and E. 163 St","Yes","40.8228","-73.9074","null","Not Accessible","N"
